"op","dms_update_ts","id","name","shortname","iconchar","iconcolour","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"U","2021-07-19 06:46:52.118999","1","Traffic Congestion","Congestion","e908","19747468","dbo","BeaconIncidentTypes","16","2021","07","19"
"U","2021-07-29 23:00:25.034208","4","Collision","Collision","e901","19668669","dbo","BeaconIncidentTypes","08","2021","07","30"
"I","2021-07-06 01:49:29.554827","0","Congestion (to be investigated)","TBA","e90d","33554431","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554858","1","Congestion (unknown cause)","Unknown","e908","19747468","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554868","2","Residual congestion from earlier incident","Residual","e908","18231940","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554882","3","Roadworks","Roadworks","e900","19714024","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554887","4","Crash","Crash","e901","19668669","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554892","5","Community Event","Community","e904","24359977","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554896","6","Burst Water Main","Water","e90c","32166773","dbo","BeaconIncidentTypes","11","2021","07","06"
"I","2021-07-06 01:49:29.554901","7","Hazard","Hazard","e90f","25769345","dbo","BeaconIncidentTypes","11","2021","07","06"
