"op","dms_update_ts","id","name","matchscore","mismatchscore","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:40.654661","1","Public Holiday","+2.0000000000000000e+01","-1.0000000000000000e+01","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654700","2","School Holidays","+1.0000000000000000e+01","-5.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654710","4","January","+5.0000000000000000e+00","-2.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654718","5","December","+5.0000000000000000e+00","-2.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654727","6","ADL 500 - Closure Week","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654736","7","ADL 500 - Normal Week Before","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654745","8","ADL 500 - Post Week","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654753","9","COVID-19 Lockdown","+2.0000000000000000e+01","-1.0000000000000000e+01","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654762","10","May Aug Aggregation","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654661","1","Public Holiday","+2.0000000000000000e+01","-1.0000000000000000e+01","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654700","2","School Holidays","+1.0000000000000000e+01","-5.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654710","4","January","+5.0000000000000000e+00","-2.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654718","5","December","+5.0000000000000000e+00","-2.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654727","6","ADL 500 - Closure Week","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654736","7","ADL 500 - Normal Week Before","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654745","8","ADL 500 - Post Week","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654753","9","COVID-19 Lockdown","+2.0000000000000000e+01","-1.0000000000000000e+01","dbo","BTSpecialDayTypes","11","2021","07","06"
"I","2021-07-06 01:49:40.654762","10","May Aug Aggregation","+0.0000000000000000e+00","+0.0000000000000000e+00","dbo","BTSpecialDayTypes","11","2021","07","06"
