"op","dms_update_ts","id","name","organizationid","notes","deletedat","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:41.678851","1","Staff","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678874","2","Bus","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678883","3","Tram","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678891","4","Train","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678899","5","TRUCKS","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678907","6","DSTO","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678914","7","AMBULANCE","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678851","1","Staff","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678874","2","Bus","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678883","3","Tram","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678891","4","Train","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678899","5","TRUCKS","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678907","6","DSTO","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
"I","2021-07-06 01:49:41.678914","7","AMBULANCE","1","","","dbo","BTTrackedVehicleTypes","11","2021","07","06"
